  xdata    ydata    zdata
  0.30    -0.0409553    -1.99889
  0.40    -0.041060971    -1.998029
  0.50    -0.0411928689    -1.99691035
  0.60    -0.04134674232    -1.995534172
  0.70    -0.041516938483    -1.9938963007
  0.80    -0.0416966589557    -1.99199302082
  0.90    -0.04187856572549    -1.989821536236
  1.00    -0.042055541674702    -1.9873803060615
  1.10    -0.0422214021316615    -1.98466915780349
  1.20    -0.0423713812181431    -1.98168918309612
  1.30    -0.04250231625399619    -1.978442483813462
  1.40    -0.042612562434465326    -1.9749318594021746
  1.50    -0.042701734592476536    -1.9711605110832091
  1.60    -0.042770381378518    -1.9671318053485
  1.70    -0.0428196701177866    -1.96284910829511
  1.80    -0.0428511243800903    -1.95831568316803
  1.90    -0.04286642723013078    -1.953534635838196
  2.00    -0.04286728586419924    -1.948508892655751
  2.10    -0.042855345935640228    -1.9432411980996649
  2.20    -0.042832142559205467    -1.9377341233050462
  2.30    -0.0427990765886396019    -1.93199007970427898
  2.40    -0.042757407298    -1.9260113343
  2.50    -0.0427082550709    -1.91980002494
  2.60    -0.0426526097248    -1.91335817385
  2.70    -0.04259134161995    -1.906687700427
  2.80    -0.04252521376334    -1.899790431836
  2.90    -0.042454893843641    -1.8926681123532
  3.00    -0.042380965604714    -1.8853224113409
  3.10    -0.042303939262817    -1.8777549300558
  3.20    -0.042224260856462    -1.86996720748261
  3.30    -0.0421423205251499    -1.86196072533888
  3.40    -0.04205845977277542    -1.8537369123905
  3.50    -0.04197297780096231    -1.845297148192516
  3.60    -0.04188613700902293    -1.836642766350452
  3.70    -0.041798167758066877    -1.8277750573814785
  3.80    -0.041709272491824906    -1.8186952712405067
  3.90    -0.0416196292989161189    -1.80940461956461225
  4.00    -0.0415293949923328096    -1.79990427767959049
  4.10    -0.0414387077728677841    -1.79019538640462488
  4.20    -0.04134768953462220936    -1.780279053684673621
  4.30    -0.04125644786288326033    -1.770156356075006755
  4.40    -0.041165077767656444249    -1.7598283400981319023
  4.50    -0.041073663189985893521    -1.749296023489937026
  4.60    -0.040982278312852    -1.7385603963491
  4.70    -0.0408909887038329    -1.72762242220161
  4.80    -0.040799852312754264    -1.7164830389901843
  4.90    -0.0407089203442014    -1.70514315999729
  5.00    -0.0406182380218598    -1.69360367470865
  5.20    -0.0404377772491399    -1.66992932901728
  5.40    -0.0402587357074696    -1.64546667149602
  5.60    -0.0400813187779429    -1.6202220382281
  5.80    -0.03990568380079114    -1.594201451914643
  6.00    -0.03973194971723877    -1.567410640040096
  6.20    -0.039560204677413    -1.539855051379134
  6.40    -0.03939051207634121    -1.511539871076588
  6.60    -0.039222915367402176    -1.4824700344873924
  6.80    -0.039057441919156435    -1.4526502399298716
  7.00    -0.038894106119284961    -1.4220849604796881
  7.20    -0.0387329118827009615    -1.39077845491140166
  7.40    -0.0385738546856633683    -1.35873477787839908
  7.60    -0.0384169232209433413762    -1.32595778940892550251
  7.80    -0.03826210074862053159989    -1.292451163785328637659
  8.00    -0.03810936620133622340972    -1.258218397864874873699
  8.20    -0.03795869509064505    -1.22326281889321
  8.40    -0.0378100602516264    -1.187587591855415
  8.60    -0.03766343245550097    -1.151195726404416
  8.80    -0.037518780914167156    -1.114090083402098
  9.00    -0.037376073695965108    -1.0762733811046285
  9.20    -0.037235278068318902    -1.0377482010202433
  9.40    -0.037096360779990432    -0.99851699346485868
  9.60    -0.0369592882933426612    -0.958582082838378761
  9.80    -0.036824026975130935    -0.91794567264236053
 10.00    -0.03669054325282399    -0.87660985025776529
 11.00    -0.0360486319983454652    -0.659505042381452809
 12.00    -0.03544632669232908812220994    -0.425168694526557483569062
 13.00    -0.0348799482186212841    -0.17375510699044775
 14.00    -0.034346202033    0.09462703162
 15.00    -0.03384216706    0.379906469
 16.00    -0.03336526199    0.6820424672
 17.00    -0.0329132055    1.001018863
 18.00    -0.0324839776    1.33683892
 19.00    -0.03207578    1.68952
 20.00    -0.0316870266    2.0590939
 22.00    -0.03096138541307618797591    2.84892183771651469706
 24.00    -0.0302962784658166307417    3.70636994774607938534
 26.00    -0.029683243960890035689    4.6314401507343271577
 28.00    -0.02911582164028065005    5.624138118216079602
 30.00    -0.0285887834815874724969    6.68441302739468768692
 32.00    -0.028098236150784763814    7.8123113797332143567
 34.00    -0.02764079902923802167    9.007832415780175376
 36.00    -0.027213597466016554362    10.270974643011984943
 38.00    -0.0268141286609815753659    11.6017358998633132717
 40.00    -0.026440193688150883702    13.000126816395945979
 42.00    -0.0260897949561223298    14.4661482906123931
 44.00    -0.0257611178199956818608    15.9998005979636014338
 46.00    -0.0254525038181789771231    17.6010833408603704821
 48.00    -0.025162434066633362638    19.269997500215855909
